X,Y,OBJECTID,COUNTY_CD,COUNTY_SEA,ODOT_DISTR,FIPS_COUNT,POP_2010,POP_2000,POP_1990,STATE_PLAN,ELEVATION_,ELEVATION1,LAT_NORTH_,LAT_SOUTH_,LONG_EAST_,LONG_WEST_,AREA_SQMI,AREA_ID,created_us,created_da,last_edite,last_edi_1,SHAPE_STAr,SHAPE_STLe
504159.010912272,133800.175049923,1,HIG,HILLSBORO,9,39071,43589,40875,35728,S,1340,700,39.38,39.018,-83.344,-83.873,557.74,53,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2407747011.03,213157.740992
604314.092335197,167796.072850018,2,HOC,LOGAN,10,39073,29380,28241,25533,S,1220,640,39.662,39.362,-82.16,-82.748,423.5,54,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1844277420.49,215451.632241
648936.461890375,284229.486299981,3,HOL,MILLERSBURG,11,39075,42366,38943,32849,N,1380,800,40.669,40.443,-81.648,-82.222,424.03,55,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1905310357.61,193045.013152
592685.4710685,348833.656899973,4,HUR,NORWALK,3,39077,59626,59487,56240,N,1200,600,41.291,40.992,-82.336,-82.843,495.96,56,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2267372218.13,197349.121399
556185.8976159,218735.881699878,5,FRA,COLUMBUS,6,39049,1163414,1068978,961437,S,1130,670,40.144,39.794,-82.761,-83.255,543.97,143,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2401407215.01,211754.151636
589826.146812155,114046.822100059,6,JAC,JACKSON,9,39079,33225,32641,30230,S,1040,600,39.209,38.844,-82.425,-82.808,421.48,57,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1811215822.04,181741.701
749421.496382648,265231.744200476,7,JEF,STEUBENVILLE,11,39081,69709,73894,80298,N,1420,640,40.6,40.154,-80.599,-80.943,410.19,58,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1831673756.16,200548.00521
607280.585844699,267359.822050011,8,KNO,MOUNT VERNON,5,39083,60921,54500,47473,N,1420,840,40.573,40.238,-82.179,-82.752,529.53,59,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2367312192.41,218434.393903
685056.09317465,196914.90544998,9,NOB,CALDWELL,10,39121,14645,14058,11336,S,1340,660,39.954,39.582,-81.233,-81.697,404.61,75,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1776240131.59,232986.2259
425881.571285275,348631.489700003,10,PAU,PAULDING,1,39125,19614,20293,20488,N,780,650,41.254,40.988,-84.34,-84.805,418.79,76,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1913230959.8,180506.629948
548950.17173093,118761.582450197,11,PIK,WAVERLY,9,39131,28709,27695,24249,S,1320,500,39.198,38.948,-82.789,-83.386,443.93,78,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1910696716.29,192107.489157
709354.165790305,352580.760100007,12,POR,RAVENNA,4,39133,161419,152061,142585,N,1340,910,41.349,40.987,-81.001,-81.395,503.99,79,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2306485960.45,193273.905412
687311.993736582,225792.555300003,13,GUE,CAMBRIDGE,5,39059,40087,40792,39024,S,1320,760,40.223,39.838,-81.225,-81.729,528.41,80,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2338466881.71,220139.262538
453890.035647003,260324.333300026,14,SHE,SIDNEY,7,39149,49423,47910,44915,N,1150,870,40.484,40.183,-84.001,-84.435,411.02,81,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1832467512.5,182152.271998
446478.378004039,195648.306050008,15,MOT,DAYTON,7,39113,535153,559062,573809,S,1090,680,39.924,39.577,-84.05,-84.487,464.51,82,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2038269023.35,191327.532592
452142.874493896,227716.937349954,16,MIA,TROY,7,39109,102506,98868,93182,S,1160,770,40.2,39.879,-84.022,-84.438,410.11,83,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1813479268.33,179540.468719
421210.290354304,162200.154400042,17,BUT,HAMILTON,8,39017,368130,332807,291479,S,1050,530,39.59,39.291,-84.331,-84.82,469.99,84,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2043287653.77,191686.82264
419620.225004062,284161.617400026,18,MER,CELINA,7,39107,40814,40924,39443,N,1070,780,40.729,40.351,-84.433,-84.805,473.23,88,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2125209764.19,192112.31517
415900.682658134,195656.520900012,19,PRE,EATON,8,39135,42270,42337,40113,S,1240,760,39.919,39.566,-84.478,-84.816,426.5,1,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1870967882.14,175167.244526
514945.101124214,92151.1221500473,20,ADA,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2506897300.74,223713.018752
464413.269268319,335904.977600016,21,PUT,OTTAWA,1,39137,34499,34726,33819,N,820,665,41.169,40.858,-83.88,-84.4,484.06,3,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2205823294.34,205784.285014
461655.691354345,309843.567950005,22,ALL,LIMA,1,39003,106331,108473,109755,N,1070,750,40.921,40.642,-83.879,-84.398,406.65,4,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1839106784.46,196432.683379
595565.595272544,307903.779300006,23,RIC,MANSFIELD,3,39139,124475,128852,126137,N,1510,940,40.997,40.549,-82.336,-82.728,500.17,5,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2260946005.55,221050.714268
619585.401593942,312128.540749489,24,ASD,ASHLAND,3,39005,53139,52523,47507,N,1400,920,41.067,40.555,-82.124,-82.438,426.68,6,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1933006667.21,217578.738333
551183.149342231,149119.938250631,25,ROS,CHILLICOTHE,9,39141,78064,73345,69330,S,1340,560,39.516,39.167,-82.742,-83.379,692.9,7,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,3004086577.99,235160.329434
744752.329995618,416704.602599983,26,ATB,JEFFERSON,4,39007,101497,102728,99821,N,1190,575,41.962,41.497,-80.518,-81.004,709.79,8,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,3300371896.02,250153.536907
559890.506236449,88623.9619999582,27,SCI,PORTSMOUTH,9,39145,79499,79195,80327,S,1340,490,39.017,38.572,-82.651,-83.272,615.79,10,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2631309799.75,288400.067066
636985.503398969,152048.645250021,28,ATH,ATHENS,10,39009,64757,62223,59549,S,1120,580,39.557,39.179,-81.721,-82.299,508.54,11,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2204971434.02,229512.243742
547247.981761794,347094.451200012,29,SEN,TIFFIN,2,39147,56745,58683,59733,N,990,600,41.258,40.991,-82.829,-83.422,552.71,12,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2525976754.54,207807.628746
453840.552657298,281365.932500002,30,AUG,WAPAKONETA,7,39011,45949,46611,44585,N,1105,780,40.687,40.354,-83.879,-84.457,402.02,13,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1805479155.89,224149.557977
729211.399897224,224338.971050429,31,BEL,SAINT CLAIRSVILLE,11,39013,70400,70226,71074,S,1380,620,40.173,39.849,-80.702,-81.238,542.03,14,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2394851315.85,208843.456035
695573.107554509,312782.166799994,32,STA,CANTON,4,39151,375586,378098,367585,N,1350,900,40.99,40.634,-81.086,-81.65,580.23,15,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2626039988.77,232167.054316
482545.69796077,105960.559649925,33,BRO,GEORGETOWN,9,39015,44846,42285,34966,S,1090,500,39.254,38.644,-83.673,-84.053,493.39,16,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2114021419.7,243308.509434
680658.513084876,348061.0466,34,SUM,AKRON,4,39153,541781,542899,514990,N,1320,610,41.352,40.906,-81.391,-81.69,420.01,17,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1918750261.43,205179.72328
745670.104380438,369712.254500024,35,TRU,WARREN,4,39155,210312,225116,227813,N,1280,790,41.502,41.132,-80.518,-81.004,635.86,18,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2922800757.36,216398.80625
492280.181217258,238494.624850004,36,CHP,URBANA,7,39021,40097,38890,36019,S,1390,950,40.274,40.01,-83.495,-84.037,430.65,20,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1907599001.8,183945.600623
685728.978685444,271340.579800029,37,TUS,NEW PHILADELPHIA,11,39157,92582,90914,84090,N,1380,790,40.664,40.214,-81.266,-81.713,571.58,21,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2557408048.08,228087.066055
489060.085444738,212306.774849921,38,CLA,SPRINGFIELD,7,39023,138333,144742,147548,S,1300,820,40.041,39.769,-83.519,-84.054,401.41,22,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1770549037.6,181662.729851
455576.222391297,114596.550749336,39,CLE,BATAVIA,8,39025,197363,177977,150187,S,970,460,39.272,38.772,-83.992,-84.321,459.66,23,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1978589092.68,198063.414725
704922.921407008,412918.876250747,40,LAK,PAINESVILLE,12,39085,230041,227511,215499,N,1250,570,41.854,41.569,-81.001,-81.49,231.43,60,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1075907846.53,172891.262719
594947.976795904,69732.0036997692,41,LAW,IRONTON,9,39087,62450,62319,61834,S,1060,520,38.849,38.403,-82.292,-82.81,457.02,61,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1940747829.25,225954.114383
601921.314101889,232603.005599912,42,LIC,NEWARK,5,39089,166492,145491,128300,S,1360,760,40.278,39.913,-82.183,-82.783,687.16,62,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,3045385030.99,229584.021673
492202.58572297,265232.855549953,43,LOG,BELLEFONTAINE,7,39091,45858,46005,42310,N,1549,960,40.538,40.228,-83.519,-84.016,466.67,63,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2085795061.18,190285.730827
632665.154863469,365288.675749974,44,LOR,ELYRIA,3,39093,301356,284664,271126,N,1180,575,41.515,41.063,-81.876,-82.349,494,64,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2268545419.29,228626.080598
496020.41966502,397465.173799818,45,LUC,TOLEDO,2,39095,441815,455054,462361,N,715,560,41.734,41.413,-83.239,-83.884,346.59,65,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1610473823.05,270990.968263
523108.468815031,211676.675200127,46,MAD,LONDON,6,39097,43435,40213,37068,S,1205,830,40.112,39.695,-83.206,-83.654,467.31,66,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2059147332.78,214510.074849
746356.619071982,336309.903050022,47,MAH,YOUNGSTOWN,4,39099,238823,257555,264806,N,1310,800,41.135,40.897,-80.518,-81.088,424.93,67,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1935426677.75,203634.179269
541715.098972769,285369.729199975,48,MAR,MARION,6,39101,66501,66217,64274,N,1110,640,40.706,40.433,-82.857,-83.421,403.91,68,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1816302186.99,201090.672394
648003.92223989,347977.1916005,49,MED,MEDINA,3,39103,172332,151095,122354,N,1320,770,41.278,40.987,-81.684,-82.175,422.88,69,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1932154628.33,192276.690696
638442.191278914,115505.983450727,50,MEG,POMEROY,10,39105,23770,23072,22987,S,1020,540,39.206,38.879,-81.743,-82.325,432.14,70,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1861322913.93,241400.788898
723333.590823473,190022.774249068,51,MOE,WOODSFIELD,10,39111,14642,15180,15497,S,1400,600,39.87,39.544,-80.823,-81.32,457.17,71,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2004240015.13,197323.120617
659122.84668711,178178.840600032,52,MRG,MCCONNELSVILLE,10,39115,15054,14897,14194,S,1160,620,39.771,39.449,-81.586,-82.081,421.62,72,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1842899168.46,208446.988054
574533.06634442,280874.469100006,53,MRW,MOUNT GILEAD,6,39117,34827,31628,27749,N,1480,910,40.714,40.345,-82.623,-83.022,407.19,73,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1827996979.83,197057.393963
645922.780059321,217859.162800043,54,MUS,ZANESVILLE,5,39119,86074,84585,82068,S,1280,660,40.168,39.755,-81.69,-82.235,672.51,74,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2968737320.19,235570.135286
531335.225624853,315602.250249997,55,WYA,UPPER SANDUSKY,1,39175,22615,22908,22254,N,980,710,40.995,40.686,-83.11,-83.517,407.62,40,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1846001687.16,179655.933346
590046.368525416,194123.547450072,56,FAI,LANCASTER,5,39045,146156,122759,103461,S,1240,750,39.941,39.554,-82.366,-82.844,508.54,41,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2231120994.34,218850.392673
519600.792730256,172244.012399006,57,FAY,WASHINGTON COURT HOUSE,6,39047,29030,28433,27466,S,1130,800,39.717,39.376,-83.255,-83.67,407.05,42,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1776575599.39,176775.187508
463874.02447584,401095.485299979,58,FUL,WAUSEON,2,39051,42698,42084,38498,N,860,650,41.721,41.485,-83.877,-84.4,407.18,44,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1888025987.42,183194.39091
609589.504164495,89805.948049203,59,GAL,GALLIPOLIS,10,39053,30934,31069,30954,S,1040,480,39.036,38.582,-82.096,-82.584,471.28,45,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2014438980.1,239206.138782
708816.969554106,392894.81745001,60,GEA,CHARDON,12,39055,93389,90895,81129,N,1390,770,41.716,41.346,-81.002,-81.393,408.43,46,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1887301971.18,199000.974869
481616.768279013,189685.484750082,61,GRE,XENIA,8,39057,161573,147886,136731,S,1135,730,39.85,39.551,-83.647,-84.115,415.97,47,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1821840555.08,179003.2948
422088.920454856,131454.189000451,62,HAM,CINCINNATI,8,39061,802374,845303,866228,S,960,460,39.313,39.024,-84.259,-84.821,412.49,48,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1781633147.04,216410.294481
503163.180296915,333002.412850009,63,HAN,FINDLAY,1,39063,74782,71295,65536,N,960,685,41.17,40.817,-83.419,-83.882,533.71,49,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2429520425.13,205036.651378
502745.684002143,296223.390700026,64,HAR,KENTON,1,39065,32058,31945,31111,N,1140,835,40.821,40.503,-83.415,-83.881,470.58,50,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2120342525.71,191843.199499
469724.964531335,370547.019400047,65,HEN,NAPOLEON,2,39069,28215,29210,29108,N,760,640,41.489,41.165,-83.88,-84.343,419.7,52,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1929758540.99,197288.341029
523803.494702858,256366.678500092,66,UNI,MARYSVILLE,6,39159,52300,40909,31969,N,1110,910,40.508,40.106,-83.169,-83.552,436.94,24,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1947095114.52,197558.636978
488804.0565011,156235.184200004,67,CLI,WILMINGTON,8,39027,42040,40543,35415,S,1190,790,39.57,39.222,-83.578,-84.008,412.44,25,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1792151761.96,174061.653733
425270.193661168,317110.468800007,68,VAN,VAN WERT,1,39161,28744,29659,30464,N,860,710,40.991,40.684,-84.339,-84.804,410.48,26,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1859815330.34,192640.86918
743299.372263409,307384.562450018,69,COL,LISBON,11,39029,107841,112075,108276,N,1440,660,40.931,40.581,-80.518,-81.088,534.79,27,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2417396761.74,224617.573862
650526.19837546,256058.935100042,70,COS,COSHOCTON,5,39031,36901,36655,35427,N,1300,720,40.457,40.15,-81.615,-82.197,567.49,30,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2529115712.39,213121.163216
684604.293299854,159227.437749589,71,WAS,MARIETTA,10,39167,61778,63251,62254,S,1200,560,39.647,39.216,-81.037,-81.853,639.85,31,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2783862238.26,308575.99348
564685.880322631,316507.490399998,72,CRA,BUCYRUS,3,39033,43784,46966,47870,N,1240,860,40.998,40.702,-82.723,-83.114,402.65,32,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1824715587.18,172130.282866
651706.014266825,314244.581650028,73,WAY,WOOSTER,3,39169,114520,111564,101461,N,1320,840,40.993,40.666,-81.647,-82.13,556.92,33,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2522634650.39,201678.456499
668508.213416149,383540.775300503,74,CUY,CLEVELAND,12,39035,1280122,1393978,1412140,N,1280,575,41.628,41.274,-81.374,-81.972,459.01,34,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2116230512.69,244073.200371
419388.092422803,239418.319349998,75,DAR,GREENVILLE,7,39037,52959,53309,53619,S,1240,775,40.355,39.915,-84.425,-84.813,600.57,35,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2660018803.97,211761.068076
425367.618972127,397762.59225001,76,WIL,BRYAN,2,39171,37642,39188,36956,N,1090,675,41.707,41.425,-84.341,-84.807,423.13,36,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1959269503.3,184537.049166
503788.299620888,377120.910850018,77,WOO,BOWLING GREEN,2,39173,125488,121065,113269,N,785,575,41.62,41.165,-83.414,-83.885,620.65,37,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2855732107.05,224631.241728
431113.04351292,367882.153000015,78,DEF,DEFIANCE,1,39039,39037,39500,39350,N,880,650,41.429,41.164,-84.226,-84.805,414.05,38,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1903667367.27,205653.073741
557502.305247026,253848.203649974,79,DEL,DELAWARE,6,39041,174214,109989,66929,N,1250,760,40.444,40.125,-82.744,-83.251,457.59,39,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2037384649.99,197984.692504
584362.875226307,376281.78235043,80,ERI,SANDUSKY,3,39043,77079,79551,76779,N,890,545,41.617,41.283,-82.341,-82.902,258.46,101,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1189557762,248767.121973
540822.01918147,393317.45025092,81,OTT,PORT CLINTON,2,39123,41428,40985,40029,N,725,485,41.725,41.456,-82.712,-83.417,265.52,102,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1229390117.18,345364.741617
623770.111974909,193312.243049508,82,PER,NEW LEXINGTON,5,39127,36058,34078,31557,S,1180,700,39.929,39.55,-82.024,-82.474,412.68,85,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1808950864.22,204877.941334
719224.785365179,287082.585299947,83,CAR,CARROLLTON,11,39019,28836,28836,26521,N,1380,900,40.73,40.424,-80.86,-81.322,398.92,19,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1793244573.42,189864.750237
598676.054332499,134429.186599946,84,VIN,MCARTHUR,10,39163,13435,12806,11098,S,1140,580,39.413,39.027,-82.26,-82.763,414.92,28,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1794677630.69,212461.296202
456593.409639944,159125.479549903,85,WAR,LEBANON,8,39165,212693,158383,113909,S,1060,570,39.59,39.254,-83.978,-84.366,407.21,29,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1770898704.39,178414.982467
718579.285632174,256143.226750493,86,HAS,CADIZ,11,39067,15864,15856,16085,N,1360,860,40.434,40.159,-80.865,-81.341,411.07,51,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1829951218.86,181149.223466
553162.683614139,182692.105849996,87,PIC,CIRCLEVILLE,6,39129,55698,52727,48255,S,1090,630,39.813,39.467,-82.731,-83.265,506.13,77,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2214649548.57,215128.493147
547189.658046314,375297.521100027,88,SAN,FREMONT,2,39143,60944,61792,61963,N,810,540,41.502,41.252,-82.839,-83.421,413.08,9,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1896676156.23,211281.674307
